,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,
Root,0.139050161,0,0.325480851,0.147281192,0.169475422,
Hips,0.530088837,0.477398114,0.804276561,0.547530081,0.68641286,
Knee,0.869003557,1,0.662190543,0.936127255,1,
Ankle,0.96498963,0.723205153,0.638735797,1,0.735432614, 
Toe,0.98243019,0.590160293,0.851289335,0.893271647,0.970388683,
Torso,0.551035573,0.37263471,0.489919632,0.638199361,0.611515774,
Neck,0,0.057603564,0,0,0,
Head,0.837629806,0.502632424,0.839597601,0.555688749,0.797577367,
Shoulder,0.318784736,0.540544338,0.844911601,0.418394654,0.347726941,
Elbow,0.861449553,0.613710806,1,0.941450469,0.902487696,
Wrist,0.505889703,0.404177153,0.477072425,0.267724992,0.626524955,
Finger,1,0.708019861,0.825508061,0.573567995,0.757162184,
